date,max,non_zero_min,non_zero_mean
2022-01-01,16.71,9.03,15.204999999999998
2022-01-02,17.49,7.82,15.68857142857143
2022-01-03,17.54,7.87,15.614285714285714
2022-01-04,17.74,8.02,15.472142857142858
2022-01-05,16.87,8.11,14.589285714285712
2022-01-06,17.68,8.08,14.743571428571428
2022-01-07,17.46,8.02,14.567142857142857
2022-01-08,17.37,8.05,15.02857142857143
2022-01-09,17.24,8.0,14.895
2022-01-10,17.22,8.11,14.508571428571429
2022-01-11,15.74,7.86,13.560714285714287
2022-01-12,16.47,7.92,13.780714285714286
2022-01-13,14.78,7.59,13.595714285714285
2022-01-14,17.29,8.23,13.998571428571426
2022-01-15,16.11,7.56,13.552857142857144
2022-01-16,17.11,7.37,14.715
2022-01-17,17.33,7.92,13.527142857142858
2022-01-18,14.33,7.97,13.192857142857141
2022-01-19,17.08,7.15,14.700714285714287
2022-01-20,16.66,7.28,14.414285714285713
2022-01-21,17.07,8.06,13.762142857142859
2022-01-22,14.86,6.84,13.197857142857144
2022-01-23,15.69,7.96,13.72642857142857
2022-01-24,15.36,7.22,13.434999999999999
2022-01-25,17.43,6.65,13.798571428571426
2022-01-26,14.47,6.92,13.126428571428573
2022-01-27,17.11,6.63,14.452857142857145
2022-01-28,15.34,7.34,13.385714285714288
2022-01-29,15.47,6.03,12.862
2022-01-30,16.79,6.58,13.923571428571426
2022-01-31,15.46,6.03,12.814
2022-02-01,14.41,7.07,12.987857142857141
2022-02-02,14.27,7.75,12.955
2022-02-03,14.35,6.92,13.138571428571428
2022-02-04,16.48,6.22,13.880714285714287
2022-02-05,15.22,6.23,13.07642857142857
2022-02-06,16.97,6.11,13.424285714285714
2022-02-07,15.12,6.24,13.239285714285714
2022-02-08,15.71,7.0,13.198571428571428
2022-02-09,16.77,6.44,13.645714285714282
2022-02-10,15.7,6.45,13.24928571428571
2022-02-11,16.04,7.16,14.2
2022-02-12,15.12,7.19,13.956153846153846
2022-02-13,14.51,6.64,13.190714285714288
2022-02-14,16.41,7.27,14.569230769230769
2022-02-15,16.8,6.82,14.812307692307693
2022-02-16,16.99,6.86,14.423076923076923
2022-02-17,14.8,6.09,12.616666666666669
2022-02-18,14.89,6.52,13.06642857142857
2022-02-19,14.37,7.46,12.970714285714285
2022-02-20,14.85,7.04,13.162142857142856
2022-02-21,14.72,8.01,13.697692307692307
2022-02-22,14.96,6.07,13.193571428571428
2022-02-23,16.65,6.76,14.09769230769231
2022-02-24,17.04,6.91,14.466153846153844
2022-02-25,17.25,6.87,14.863076923076923
2022-02-26,17.59,6.02,15.661538461538463
2022-02-27,17.24,6.09,15.607692307692307
2022-02-28,17.18,6.01,14.682307692307692
2022-03-01,16.59,6.33,14.723846153846154
2022-03-02,17.15,6.02,15.236153846153847
2022-03-03,16.59,6.05,14.950000000000001
2022-03-04,17.2,14.99,15.927500000000002
2022-03-05,17.29,13.21,15.591666666666669
2022-03-06,14.9,13.8,14.14
2022-03-07,17.11,6.47,14.62923076923077
2022-03-08,17.76,14.98,17.141666666666666
2022-03-09,17.79,14.84,17.110000000000003
2022-03-10,17.61,14.46,16.239166666666666
2022-03-11,17.54,14.27,16.074166666666667
2022-03-12,17.58,14.3,15.667499999999999
2022-03-13,16.18,14.4,14.840833333333336
2022-03-14,17.54,14.38,16.043333333333333
2022-03-15,17.37,13.19,15.720833333333337
2022-03-16,16.24,13.16,14.381666666666668
2022-03-17,16.04,6.02,14.206153846153846
2022-03-18,16.17,13.96,15.136666666666665
2022-03-19,15.44,6.66,14.016153846153847
2022-03-20,14.48,6.55,13.296153846153846
2022-03-21,14.56,13.19,13.9925
2022-03-22,14.79,6.13,13.514615384615384
2022-03-23,14.17,6.52,13.285384615384613
2022-03-24,14.42,6.29,13.191538461538462
2022-03-25,14.9,6.23,13.393076923076924
2022-03-26,14.43,5.98,13.237692307692308
2022-03-27,14.98,6.23,13.143076923076924
2022-03-28,14.93,7.16,12.812142857142856
2022-03-29,15.35,12.81,14.222499999999998
2022-03-30,17.12,11.82,14.862500000000002
2022-03-31,17.17,11.67,15.16166666666667
2022-04-01,17.27,6.1,12.842142857142859
2022-04-02,14.55,12.0,13.944166666666668
2022-04-03,16.92,11.06,15.012500000000003
2022-04-04,17.6,10.4,16.214166666666667
2022-04-05,17.66,10.17,16.013333333333335
2022-04-06,17.34,9.8,15.725000000000001
2022-04-07,17.18,9.53,15.646666666666667
2022-04-08,17.34,9.3,15.934166666666664
2022-04-09,17.54,9.15,15.945833333333333
2022-04-10,17.66,8.95,15.8525
2022-04-11,17.28,8.64,14.840833333333334
2022-04-12,17.76,8.61,15.602499999999997
2022-04-13,16.95,8.29,14.512500000000001
2022-04-14,17.32,8.52,14.467500000000001
2022-04-15,16.81,8.03,14.345833333333333
2022-04-16,14.95,9.61,13.629166666666668
2022-04-17,14.43,8.53,13.456666666666669
2022-04-18,14.38,8.34,13.299166666666666
2022-04-19,14.46,6.05,12.726153846153846
2022-04-20,16.59,8.99,14.106666666666667
2022-04-21,16.42,7.43,14.098333333333331
2022-04-22,16.05,7.49,13.971666666666666
2022-04-23,17.08,7.27,14.481666666666664
2022-04-24,16.37,7.1,13.8375
2022-04-25,16.22,8.32,13.795833333333334
2022-04-26,16.87,7.18,14.0225
2022-04-27,16.37,6.85,14.205833333333333
2022-04-28,16.95,6.73,14.323333333333332
2022-04-29,17.56,6.71,15.413333333333332
2022-04-30,17.66,6.88,14.555833333333334
2022-05-01,14.21,6.02,12.555384615384618
2022-05-02,16.44,7.62,13.9525
2022-05-03,17.65,6.74,15.274999999999999
2022-05-04,17.59,6.62,15.203333333333333
2022-05-05,17.51,6.18,14.85
2022-05-06,17.37,6.35,14.990833333333335
2022-05-07,16.86,6.41,14.306666666666665
2022-05-08,17.26,6.54,14.2575
2022-05-09,16.96,6.96,13.792500000000002
2022-05-10,15.53,5.99,13.29
2022-05-11,14.92,6.43,12.833076923076922
2022-05-12,15.44,5.99,12.241333333333333
2022-05-13,15.01,6.68,12.597857142857142
2022-05-14,15.03,7.64,13.219166666666666
2022-05-15,14.74,7.4,13.129999999999997
2022-05-16,16.62,7.39,13.703333333333333
2022-05-17,16.95,6.71,14.217500000000001
2022-05-18,17.15,6.14,15.084166666666668
2022-05-19,15.53,6.61,13.378333333333332
2022-05-20,15.97,7.88,14.390909090909092
2022-05-21,16.78,8.02,15.07181818181818
2022-05-22,14.26,7.62,12.968333333333334
2022-05-23,14.69,6.47,12.871666666666664
2022-05-24,14.52,7.31,13.011666666666665
2022-05-25,17.06,6.7,13.323333333333332
2022-05-26,17.81,7.84,15.17818181818182
2022-05-27,17.51,6.0,13.584166666666667
2022-05-28,15.54,7.02,13.342500000000001
2022-05-29,16.65,6.5,14.010833333333332
2022-05-30,17.9,5.97,15.255833333333335
2022-05-31,17.46,7.46,15.086363636363636
2022-06-01,15.84,6.18,13.450833333333335
2022-06-02,16.74,6.12,13.6275
2022-06-03,17.14,6.55,13.469999999999999
2022-06-04,14.87,6.02,12.953333333333333
2022-06-05,16.6,6.1,13.543333333333331
2022-06-06,15.45,6.13,12.974615384615383
2022-06-07,15.65,5.97,12.912307692307694
2022-06-08,16.74,5.97,12.355999999999998
2022-06-09,16.58,7.24,14.260909090909092
2022-06-10,15.79,6.62,13.289166666666668
2022-06-11,14.98,6.47,12.257857142857143
2022-06-12,15.61,7.17,12.766923076923076
2022-06-13,15.84,6.58,13.355833333333337
2022-06-14,16.02,6.7,13.253846153846155
2022-06-15,16.32,6.19,13.725833333333334
2022-06-16,15.71,6.27,13.270833333333334
2022-06-17,15.45,7.83,14.073636363636364
2022-06-18,15.77,8.72,14.195454545454545
2022-06-19,15.3,6.1,13.101666666666667
2022-06-20,15.51,6.1,13.160833333333334
2022-06-21,15.24,7.44,13.711818181818181
2022-06-22,17.06,6.51,14.910909090909088
2022-06-23,17.88,6.15,15.163333333333334
2022-06-24,17.93,6.14,15.13
2022-06-25,17.89,6.18,15.315000000000003
2022-06-26,17.07,6.9,15.102727272727272
2022-06-27,18.02,6.29,15.37583333333333
2022-06-28,17.96,6.17,15.244166666666667
2022-06-29,17.92,6.17,14.748333333333333
2022-06-30,16.65,6.87,13.828333333333333
2022-07-01,15.68,6.22,13.1825
2022-07-02,15.0,5.97,12.626923076923077
2022-07-03,16.1,6.72,13.026666666666666
2022-07-04,14.4,7.66,12.803333333333333
2022-07-05,15.36,6.34,12.634615384615385
2022-07-06,16.32,6.24,13.541666666666666
2022-07-07,17.37,6.48,13.453333333333333
2022-07-08,17.11,7.13,14.750909090909092
2022-07-09,17.35,6.27,14.865833333333333
2022-07-10,17.52,6.23,14.811666666666666
2022-07-11,17.92,6.33,15.379166666666668
2022-07-12,17.93,6.48,15.408333333333333
2022-07-13,17.71,6.15,15.314166666666667
2022-07-14,17.0,6.41,14.754166666666665
2022-07-15,17.34,6.68,14.679166666666667
2022-07-16,16.59,6.71,14.468333333333332
2022-07-17,16.89,6.76,13.756666666666666
2022-07-18,15.64,7.48,13.290000000000001
2022-07-19,17.31,16.05,16.768333333333334
2022-07-28,0.0,,
2022-09-16,19.66,19.66,19.66
2022-09-17,25.58,18.77,22.767916666666665
2022-09-18,25.58,16.2,21.54375
2022-09-19,25.58,19.79,23.746521739130436
2022-09-20,14.75,7.79,12.691428571428572
2022-09-21,17.14,9.54,15.349166666666667
2022-09-22,17.35,9.74,15.25
2022-09-23,17.26,6.06,14.736153846153844
2022-09-24,16.59,10.13,14.554166666666665
2022-09-25,17.08,10.0,15.661666666666667
2022-09-26,17.49,6.03,14.8
2022-09-27,17.01,6.37,14.339230769230769
2022-09-28,17.0,6.31,15.010769230769231
2022-09-29,16.38,6.02,13.900000000000002
2022-09-30,16.21,5.98,13.235333333333335
2022-10-01,17.64,6.8,14.615384615384615
2022-10-02,16.77,6.32,14.417692307692308
2022-10-03,17.92,6.66,15.930000000000003
2022-10-04,17.92,6.6,15.75230769230769
2022-10-05,17.12,6.78,14.920769230769233
2022-10-06,17.4,6.89,14.685384615384613
2022-10-07,17.03,6.95,13.886923076923079
2022-10-08,17.18,6.88,14.47923076923077
2022-10-09,17.43,7.11,14.363076923076923
2022-10-10,17.25,7.44,15.116923076923076
2022-10-11,17.34,7.37,14.996923076923075
2022-10-12,17.18,7.52,14.771538461538462
2022-10-13,17.29,7.44,14.529230769230768
2022-10-14,16.42,7.77,14.781538461538462
2022-10-15,17.19,7.88,14.935384615384617
2022-10-16,17.06,8.1,14.026923076923081
2022-10-17,15.82,8.76,14.075384615384614
2022-10-18,15.3,6.1,13.407857142857145
2022-10-19,16.41,8.56,14.516153846153845
2022-10-20,16.98,8.72,15.652307692307694
2022-10-21,17.68,8.58,16.01076923076923
2022-10-22,17.71,8.98,15.206153846153844
2022-10-23,15.86,8.89,14.143846153846154
2022-10-24,17.03,8.98,14.789230769230766
2022-10-25,17.49,8.99,15.652307692307694
2022-10-26,17.49,9.48,15.667692307692308
2022-10-27,17.56,9.58,15.69846153846154
2022-10-28,17.54,9.98,16.045384615384616
2022-10-29,17.09,9.89,15.269999999999998
2022-10-30,16.83,10.23,15.454615384615384
2022-10-31,17.46,13.93,16.274285714285718
2022-11-01,15.05,6.33,12.765714285714287
2022-11-02,15.7,10.94,14.266153846153845
2022-11-03,14.72,6.27,13.168571428571429
2022-11-04,14.56,6.48,13.287857142857144
2022-11-05,14.46,6.31,12.910714285714286
2022-11-06,14.23,10.85,13.686923076923076
2022-11-07,15.24,10.63,13.794615384615383
2022-11-08,14.38,11.35,13.621538461538465
2022-11-09,17.28,11.21,15.232307692307693
2022-11-10,16.77,11.29,14.777692307692307
2022-11-11,16.9,11.47,14.846153846153847
2022-11-12,17.04,6.6,14.752142857142857
2022-11-13,17.23,11.66,15.836153846153847
2022-11-14,16.24,11.56,14.22923076923077
2022-11-15,16.8,11.81,15.283076923076923
2022-11-16,17.31,11.49,15.084615384615383
2022-11-17,17.29,11.91,15.793076923076926
2022-11-18,17.88,11.8,15.477692307692307
2022-11-19,17.8,12.76,16.71923076923077
2022-11-20,17.46,12.0,16.18307692307692
2022-11-21,17.64,7.28,14.457142857142859
2022-11-22,15.03,6.45,13.317857142857141
2022-11-23,14.87,6.33,13.589285714285714
2022-11-24,15.46,5.98,12.92
2022-11-25,15.17,6.02,13.554285714285713
2022-11-26,16.1,5.97,13.974999999999998
2022-11-27,15.8,6.5,13.198666666666666
2022-11-28,17.25,7.39,14.940714285714284
2022-11-29,17.86,6.04,15.965714285714284
2022-11-30,17.96,6.27,15.027142857142858
2022-12-01,14.92,6.68,13.512857142857142
2022-12-02,16.91,6.14,13.771428571428569
2022-12-03,17.46,6.17,14.072142857142856
2022-12-04,15.54,6.26,14.024285714285714
2022-12-05,16.55,6.32,13.97
2022-12-06,15.98,6.52,13.774285714285714
2022-12-07,16.4,6.75,14.560714285714285
2022-12-08,17.31,6.49,14.922142857142857
2022-12-09,17.32,6.62,14.915714285714285
2022-12-10,17.37,6.72,15.000714285714285
2022-12-11,16.79,6.66,13.958571428571428
2022-12-12,16.07,7.34,14.081428571428571
2022-12-13,15.03,6.85,13.542142857142858
2022-12-14,14.71,7.37,13.644285714285711
2022-12-15,14.7,7.51,13.398571428571428
2022-12-16,15.39,6.35,12.985333333333331
2022-12-17,16.94,8.02,14.350714285714284
2022-12-18,17.24,7.22,15.530714285714286
2022-12-19,17.77,7.24,15.954285714285716
2022-12-20,17.78,7.23,15.587857142857144
2022-12-21,17.68,7.55,15.39357142857143
2022-12-22,17.89,7.44,16.162857142857142
2022-12-23,17.74,7.43,16.05857142857143
2022-12-24,17.74,7.45,16.03142857142857
2022-12-25,17.69,7.5,16.00142857142857
2022-12-26,17.61,7.54,15.902142857142854
2022-12-27,17.59,7.6,15.632142857142858
2022-12-28,17.66,7.62,15.27142857142857
2022-12-29,17.28,7.88,15.010714285714288
2022-12-30,17.43,7.73,15.636428571428569
2022-12-31,17.54,7.78,15.217142857142859
2023-01-01,17.34,7.71,14.219999999999997
2023-01-02,15.84,7.79,13.867142857142857
2023-01-03,16.37,7.88,13.853571428571428
2023-01-04,16.62,8.61,13.850714285714288
2023-01-05,16.12,8.21,13.745714285714286
2023-01-06,17.7,8.23,14.800714285714287
2023-01-07,16.1,8.09,13.992142857142856
2023-01-08,15.05,8.9,13.642142857142858
2023-01-09,14.54,8.63,12.984285714285717
2023-01-10,15.09,8.15,13.35142857142857
2023-01-11,14.67,5.97,12.856666666666666
2023-01-12,15.19,7.9,13.255
2023-01-13,15.32,7.75,13.310714285714285
2023-01-14,16.99,7.66,14.559285714285716
2023-01-15,17.46,8.06,13.929285714285715
2023-01-16,14.88,7.63,13.08357142857143
2023-01-17,15.37,7.23,13.375714285714285
2023-01-18,17.21,7.37,14.768571428571425
2023-01-19,17.62,7.17,15.221428571428572
2023-01-20,16.47,7.01,14.102142857142857
2023-01-21,16.57,7.04,13.98142857142857
2023-01-22,17.11,7.35,14.467857142857143
2023-01-23,17.86,6.76,14.784285714285716
2023-01-24,16.62,6.87,14.17357142857143
2023-01-25,16.55,6.64,13.522142857142859
2023-01-26,17.54,7.02,14.006428571428572
2023-01-27,15.6,6.42,13.765714285714283
2023-01-28,17.46,6.64,14.79142857142857
2023-01-29,17.6,6.55,15.490714285714288
2023-01-30,17.73,6.51,15.410714285714283
2023-01-31,17.77,6.21,14.915714285714287
2023-02-01,16.23,6.41,14.029285714285711
2023-02-02,17.82,6.32,14.639285714285714
2023-02-03,15.59,6.36,13.552142857142856
2023-02-04,15.74,6.28,13.44357142857143
2023-02-05,14.98,6.3,13.383571428571429
2023-02-06,14.61,6.18,12.849999999999998
2023-02-07,16.29,6.09,13.437142857142858
2023-02-08,14.68,6.08,13.07642857142857
2023-02-09,16.77,7.79,14.092307692307692
2023-02-10,16.59,6.02,13.665714285714284
2023-02-11,14.53,6.09,12.94357142857143
2023-02-12,15.14,8.31,13.927692307692308
2023-02-13,15.92,7.21,14.196153846153846
2023-02-14,16.22,6.13,13.084999999999996
2023-02-15,16.35,6.9,14.408461538461534
2023-02-16,14.94,7.6,13.466923076923074
2023-02-17,17.59,6.77,15.193076923076923
2023-02-18,16.77,6.76,15.099999999999998
2023-02-19,16.39,6.54,13.846428571428572
2023-02-20,16.16,6.61,14.63230769230769
2023-02-21,16.95,6.92,15.103076923076923
2023-02-22,17.47,6.52,15.569230769230767
2023-02-23,17.47,6.5,15.799230769230768
2023-02-24,17.37,6.39,15.90846153846154
2023-02-25,17.05,6.3,15.04307692307692
2023-02-26,16.02,6.75,14.293076923076923
2023-02-27,17.34,6.21,15.73230769230769
2023-02-28,17.47,6.1,15.77692307692308
2023-03-01,17.64,6.12,15.763846153846153
2023-03-02,17.14,5.99,15.011538461538462
2023-03-03,16.88,14.64,15.934999999999997
2023-03-04,15.93,6.79,14.51076923076923
2023-03-05,17.24,13.84,16.0425
2023-03-06,17.32,13.89,16.000000000000004
2023-03-07,16.95,14.39,15.803333333333333
2023-03-08,16.67,14.2,15.595
2023-03-09,16.27,14.73,15.715000000000002
2023-03-10,16.71,14.62,15.803333333333335
2023-03-11,16.95,14.78,16.3575
2023-03-12,16.64,13.41,15.510833333333336
2023-03-13,16.07,6.04,14.297692307692309
2023-03-14,16.53,14.51,15.395833333333336
2023-03-15,17.19,14.25,16.31083333333333
2023-03-16,17.11,13.62,16.206666666666667
2023-03-17,16.36,13.98,14.782499999999999
2023-03-18,16.96,13.21,15.019166666666665
2023-03-19,14.61,6.8,13.146923076923075
2023-03-20,16.03,13.75,14.585833333333335
2023-03-21,15.78,13.06,14.263333333333334
2023-03-22,14.81,6.39,12.262000000000002
2023-03-23,14.98,12.87,13.834166666666667
2023-03-24,16.72,6.09,13.81
2023-03-25,15.55,6.1,13.139285714285714
2023-03-26,14.66,6.21,12.582666666666666
2023-03-27,14.53,6.66,12.626428571428571
2023-03-28,14.32,6.26,12.558571428571428
2023-03-29,14.44,12.78,13.819166666666666
2023-03-30,14.38,6.07,12.976923076923075
2023-03-31,14.27,6.41,12.682142857142859
2023-04-01,14.46,5.97,12.532142857142857
2023-04-02,14.59,6.43,12.189333333333334
2023-04-03,14.31,6.43,12.605714285714283
2023-04-04,14.69,6.09,12.304
2023-04-05,14.66,10.64,13.518333333333336
2023-04-06,14.61,9.78,13.4975
2023-04-07,16.12,11.26,13.965000000000002
2023-04-08,15.24,9.69,13.740000000000002
2023-04-09,15.93,11.29,14.291666666666666
2023-04-10,14.99,10.2,13.668333333333331
2023-04-11,15.79,8.75,14.145000000000001
2023-04-12,16.7,8.64,14.974166666666669
2023-04-13,15.43,9.1,13.383333333333333
2023-04-14,15.1,8.77,13.781666666666666
2023-04-15,16.77,8.19,15.240833333333335
2023-04-16,17.44,8.57,15.679166666666669
2023-04-17,17.18,8.0,14.4675
2023-04-18,17.2,6.78,13.59
2023-04-19,14.65,7.94,12.996153846153845
2023-04-20,15.25,6.4,12.565714285714284
2023-04-21,14.84,6.7,12.671428571428569
2023-04-22,14.69,6.82,12.793076923076923
2023-04-23,14.7,8.88,13.260833333333332
2023-04-24,15.06,7.68,13.343333333333332
2023-04-25,15.22,6.9,12.892307692307693
2023-04-26,15.19,7.27,13.386666666666665
2023-04-27,14.55,7.89,13.148333333333333
2023-04-28,15.72,8.43,13.613333333333332
2023-04-29,15.63,6.47,13.023076923076925
2023-04-30,17.14,6.79,14.185000000000002
2023-05-01,14.81,8.02,13.516666666666666
2023-05-02,17.41,6.79,14.311666666666666
2023-05-03,15.14,7.39,13.384999999999998
2023-05-04,15.92,6.76,13.606666666666664
2023-05-05,17.35,6.5,13.930833333333334
2023-05-06,14.77,6.11,12.617692307692305
2023-05-07,16.22,6.1,12.752857142857142
2023-05-08,15.25,7.21,13.153333333333334
2023-05-09,14.92,7.38,13.334166666666667
2023-05-10,15.27,6.35,13.348333333333334
2023-05-11,14.63,6.98,13.063333333333333
2023-05-12,15.57,6.74,13.7425
2023-05-13,15.45,6.69,13.341666666666667
2023-05-14,14.82,6.46,13.315833333333336
2023-05-15,15.99,6.54,13.812500000000002
2023-05-16,17.64,8.81,15.511818181818182
2023-05-17,16.99,6.07,13.169166666666664
2023-05-18,16.5,6.12,13.921666666666669
2023-05-19,17.25,6.04,14.545833333333334
2023-05-20,16.17,8.33,14.27818181818182
2023-05-21,16.48,6.12,13.944166666666666
2023-05-22,16.6,6.02,13.905833333333334
2023-05-23,15.86,7.4,13.340833333333334
2023-05-24,15.97,6.78,13.191666666666668
2023-05-25,14.91,8.36,13.60090909090909
2023-05-26,16.1,8.06,14.239090909090908
2023-05-27,16.94,7.79,15.085454545454546
2023-05-28,17.41,6.06,14.895000000000001
2023-05-29,17.66,7.38,16.004545454545454
2023-05-30,17.44,7.29,15.866363636363637
2023-05-31,17.25,7.64,15.34909090909091
2023-06-01,16.4,6.11,13.50642857142857
2023-06-02,17.07,7.51,15.32090909090909
2023-06-03,17.18,6.02,14.295
2023-06-04,17.22,6.19,14.475000000000001
2023-06-05,17.15,6.63,15.055454545454545
2023-06-06,16.86,6.94,14.567272727272725
2023-06-07,16.92,6.94,14.840909090909092
2023-06-08,17.69,6.28,14.931666666666665
2023-06-09,17.61,7.59,15.344545454545456
2023-06-10,17.48,6.67,14.205833333333333
2023-06-11,17.16,6.59,14.14
2023-06-12,16.26,6.6,14.355454545454545
2023-06-13,16.75,7.78,13.786363636363633
2023-06-14,15.77,6.73,13.250833333333333
2023-06-15,15.32,6.88,13.150833333333333
2023-06-16,15.56,7.03,13.472500000000002
2023-06-17,16.2,5.97,12.539333333333332
2023-06-18,16.81,6.06,13.761666666666665
2023-06-19,16.53,6.46,13.924999999999999
2023-06-20,16.53,6.14,13.515
2023-06-21,17.13,6.0,14.3275
2023-06-22,16.59,7.39,14.870909090909093
2023-06-23,16.41,7.02,14.17909090909091
2023-06-24,16.37,6.95,14.56909090909091
2023-06-25,17.71,6.99,15.295454545454545
2023-06-26,17.37,6.55,14.605833333333331
2023-06-27,17.51,6.27,15.132499999999999
2023-06-28,17.28,6.48,14.210000000000003
2023-06-29,17.25,6.26,13.984166666666665
